Alpha_Node,Total_Support
WNT6,-980
WNT7A,-980
WNT7B,-980
WNT8A,-980
WNT8B,-980
WNT9A,-980
WNT9B,-980
GNAI1,-980
GNAI2,-980
GNAI3,-980
GNAO1,-980
HDAC1,-978
HDAC4,-972
MEF2A,-980
MEF2B,-980
MEF2C,-980
MEF2D,-980
HDAC5,-972
HES1,-918
ERBB2,-980
NFKB2,-980
HES5,-918
HEY1,-918
HEY2,-918
HEYL,-918
HIF1A,-980
PFKP,-980
PFKM,-980
PGAM1,-980
PGAM2,-980
PGAM4,-980
PKM,-980
HLA-A,-980
HLA-B,-980
HLA-C,-980
HLA-E,-980
HLA-F,-980
HLA-G,-980
HNF1A,-974
FOXA3,-980
HNF4A,-980
HNF4G,-980
PKLR,-980
SLC2A2,-980
HSF1,-980
IDO1,-980
IDO2,-980
IFNGR1,-978
MARCKSL1,-980
IFNGR2,-978
IL18R1,-980
IL18RAP,-980
IL6R,-980
SOCS3,-980
INSR,-978
PNPLA2,-980
IRF1,-980
IRF3,-950
CD80,-980
CD86,-980
CXCL11,-980
CXCL9,-980
IFNA1,-980
IFNA10,-980
IFNA13,-980
IFNA14,-980
IFNA16,-980
IFNA17,-980
IFNA2,-980
IFNA21,-980
IFNA4,-980
IFNA5,-980
IFNA6,-980
IFNA7,-980
IFNA8,-980
IFNE,-980
IFNK,-980
IFNW1,-980
IFIT1,-980
IFIT1B,-980
IL15,-980
APOBEC3A,-980
APOBEC3A_B,-980
APOBEC3B,-980
APOBEC3C,-980
APOBEC3D,-980
APOBEC3F,-980
APOBEC3G,-980
APOBEC3H,-980
BST2,-980
SAMHD1,-980
TRIM5,-980
IRF5,-980
IRF7,-980
IRF8,-980
IRF9,-962
IL17D,-980
EIF2AK1,-980
EIF2AK2,-980
EIF2AK3,-980
EIF2AK4,-980
MX1,-980
OAS1,-980
OAS2,-980
OAS3,-980
RSAD2,-980
ADAR,-980
PML,-916
ISG15,-980
JAG1,-980
AGER,-980
F3,-980
THBD,-980
MMP7,-980
CD44,-980
CD58,-980
ENTPD1,-980
ENTPD3,-980
ENTPD8,-980
FCER2,-980
ITGAL,-980
TNFAIP3,-980
VIM,-980
JUNB,-980
JUND,-974
BGLAP,-980
LRP5,-980
LRP6,-980
JUP,-918
KDM3A,-980
KDM3B,-980
KIR2DL1,-980
KIR2DL2,-980
KIR2DL3,-980
KIR2DL4,-980
KIR2DL5A,-980
NOS1,-980
ASS1,-980
GSTA1,-980
GSTA2,-980
GSTA3,-980
GSTA4,-980
GSTA5,-980
GSTM1,-980
GSTM2,-980
GSTM3,-980
GSTM4,-980
GSTM5,-980
GSTO1,-980
GSTO2,-980
GSTP1,-980
GSTT1,-980
GSTT2,-980
GSTT2B,-980
MGST1,-980
MGST2,-980
MGST3,-980
NPPC,-980
NQO1,-980
PLAT,-980
SQSTM1,-980
TXN,-980
TXN2,-980
KLF4,-980
SOX2,-980
KMT2A,-980
KMT2D,-980
LEF1,-918
BIRC5,-980
AXIN1,-980
AXIN2,-980
NKD1,-980
SNAI2,-980
MAFA,-980
MAFB,-980
MAML1,-976
HES2,-980
HES3,-980
HES4,-980
HES6,-980
HES7,-980
MAML2,-976
MAML3,-976
MAPK1,-976
IL18,-980
PLAU,-980
PLAUR,-980
JMJD7-PLA2G4B,-980
PLA2G4A,-980
PLA2G4B,-980
PLA2G4C,-980
PLA2G4D,-980
PLA2G4E,-980
PLA2G4F,-980
MAPK10,-980
MAPK11,-980
IRF4,-980
MAPK12,-980
MAPK13,-980
MAPK14,-980
MAPK3,-976
MAPK7,-980
MAPK8,-980
MAPK9,-980
MAX,-980
CDK6,-980
CKS1B,-980
CKS2,-980
MDM2,-980
SOST,-980
MEN1,-980
DCT,-980
TYR,-980
TYRP1,-980
MLX,-980
ACACB,-980
MLXIP,-980
MLXIPL,-980
MTOR,-980
TERT,-980
TFAP4,-980
GLS,-980
GLS2,-980
SLC1A5,-980
MYD88,-980
NACA,-974
NANOG,-980
POU5F1,-980
POU5F1B,-980
NCOA1,-918
NCOA2,-980
NCOA3,-918
NEUROD1,-980
GCK,-980
IAPP,-980
NEUROG3,-980
NKX2-2,-980
PAX4,-980
PAX6,-980
MYH7,-980
NPPB,-980
TRPC6,-980
F2R,-980
IL17A,-980
IL17F,-980
IL21,-980
IL22,-980
RCAN1,-980
RGS2,-980
NFATC2,-980
NFATC3,-980
NFATC4,-980
NFE2L2,-922
TXNRD1,-980
TXNRD2,-980
TXNRD3,-980
BCL2L1,-980
TRAF1,-980
TRAF2,-980
TRAF3,-980
TRAF4,-980
TRAF5,-980
TRAF6,-980
AMH,-980
BCL2A1,-980
CFLAR,-980
NFKBIA,-980
