Alpha_Node,Total_Support
hsa:5604,-21
hsa:5594,-21
hsa:6655,-21
hsa:3265,-21
hsa:2002,-21
hsa:1950,-21
hsa:5293,-21
hsa:5295,-21
hsa:5290,-21
hsa:5291,-21
hsa:2885,-21
hsa:1956,-21
hsa:8503,-21
hsa:5296,-21
hsa:4893,-21
hsa:369,-21
hsa:5894,-21
hsa:3845,-21
hsa:673,-21
hsa:5595,-21
hsa:5605,-21
hsa:6654,-21
