Alpha_Node,Total_Support
AHR,-732
CDKN1B,-734
APLNR,-730
PIK3C3,-734
PIK3R4,-734
AR,-732
KLK3,-734
ARNT,-734
ALDOA,-734
ANGPT1,-734
ANGPT2,-736
ANGPT4,-734
BCL2,-734
CDKN1A,-734
EDN1,-736
EGF,-734
ENO1,-734
ENO2,-734
ENO3,-734
ENO4,-734
EPO,-734
FLT1,-734
GAPDH,-734
HK1,-734
HK2,-734
HK3,-734
HKDC1,-734
HMOX1,-736
LDHA,-734
LTBR,-734
NOS2,-734
NOS3,-736
NPPA,-734
PDK1,-734
PFKFB3,-734
PFKL,-734
PGK1,-734
SERPINE1,-734
SLC2A1,-734
TEK,-734
TF,-734
TFRC,-734
TIMP1,-734
VEGFA,-734
ARNTL,-736
BHLHE40,-734
BHLHE41,-734
CRY1,-734
CRY2,-734
NR1D1,-724
PER1,-734
PER2,-734
PER3,-734
RORA,-724
RORB,-724
RORC,-724
ASH2L,-734
CDKN2A,-734
CDKN2B,-734
CDKN2C,-734
ATF2,-724
MCL1,-734
FGF21,-734
PPARGC1A,-748
UCP1,-736
ZNF516,-734
INS,-734
TG,-734
CPT1A,-734
CPT1B,-734
CPT1C,-734
G6PC,-736
G6PC2,-736
G6PC3,-736
PCK1,-734
PCK2,-734
SIK1,-734
SIK1B,-734
CYP11B2,-734
STAR,-734
VEGFB,-734
VEGFC,-734
VEGFD,-734
CYP11B1,-734
CYP17A1,-734
NCEH1,-734
FOS,-672
TNFSF11,-734
POMC,-734
BDNF,-736
PDYN,-734
ARC,-736
FOSB,-638
CRH,-736
NPY,-736
CXCL8,-734
PCNA,-736
CCL2,-736
CCL5,-736
CXCL10,-736
ICAM1,-736
IL12A,-734
IL12B,-734
IL1A,-736
IL1B,-736
IL6,-734
TNF,-734
CCND1,-734
ATF4,-658
PRKN,-736
DDIT3,-734
ATF6B,-662
BBC3,-730
TP53,-736
TP53AIP1,-734
BCL3,-730
CCL17,-734
CCL22,-734
IL10,-736
IL23A,-734
BORCS8-MEF2B,-732
KLF2,-794
CAMK4,-724
CBL,-732
THBS1,-734
TIMP3,-734
CD40,-736
CDX2,-724
ABCB1,-734
CDH17,-734
MUC2,-734
REG4,-734
SHH,-734
CEBPA,-680
CSF3R,-734
E2F1,-734
E2F2,-734
E2F3,-734
MYC,-736
CIITA,-734
HLA-DMA,-734
HLA-DMB,-734
HLA-DOA,-734
HLA-DOB,-734
HLA-DPA1,-734
HLA-DPB1,-734
HLA-DQA1,-734
HLA-DQA2,-734
HLA-DQB1,-734
HLA-DRA,-734
HLA-DRB1,-734
HLA-DRB3,-734
HLA-DRB4,-734
HLA-DRB5,-734
CITED2,-734
BNIP3L,-734
CLOCK,-734
CREB1,-664
AQP2,-734
MITF,-740
JUN,-602
ACP5,-736
CALCR,-736
CTSK,-736
ITGB3,-736
REN,-734
CD74,-734
PTGER4,-734
CREB3,-664
CREB3L1,-664
CREB3L2,-664
CREB3L3,-664
CREB3L4,-664
CREB5,-664
CREBBP,-736
IFNB1,-736
CRTC2,-734
CTNNB1,-592
CCND2,-734
CCND3,-736
CCNE1,-734
CCNE2,-734
BNIP3,-734
FOXM1,-734
MYBL2,-734
CCNA1,-734
CCNA2,-734
E2F4,-680
E2F5,-680
EGFR,-734
PTGS2,-734
EGR1,-734
SPP1,-734
PTH,-734
EGR2,-734
FASLG,-736
EGR3,-734
EIF4EBP2,-730
CRYAB,-734
HSPA1A,-734
HSPA1B,-734
HSPA1L,-734
HSPA2,-734
HSPA6,-734
HSPA8,-734
SOD1,-734
SOD2,-734
