Alpha_Node,Total_Support
AHR,982
CDKN1B,982
APLNR,982
PIK3C3,982
PIK3R4,982
AR,982
KLK3,982
ARNT,982
ALDOA,982
ANGPT1,982
ANGPT2,982
ANGPT4,982
BCL2,982
CDKN1A,982
EDN1,982
EGF,982
ENO1,982
ENO2,982
ENO3,982
ENO4,982
EPO,982
FLT1,982
GAPDH,982
HK1,982
HK2,982
HK3,982
HKDC1,982
HMOX1,982
LDHA,982
LTBR,982
NOS2,982
NOS3,982
NPPA,982
PDK1,982
PFKFB3,982
PFKL,982
PGK1,982
SERPINE1,982
SLC2A1,982
TEK,982
TF,982
TFRC,982
TIMP1,982
VEGFA,982
ARNTL,982
BHLHE40,982
BHLHE41,982
CRY1,982
CRY2,982
NR1D1,982
PER1,982
PER2,982
PER3,982
RORA,982
RORB,982
RORC,982
ASH2L,982
CDKN2A,982
CDKN2B,982
CDKN2C,982
ATF2,982
MCL1,982
FGF21,982
PPARGC1A,982
UCP1,982
ZNF516,982
INS,982
TG,982
CPT1A,982
CPT1B,982
CPT1C,982
G6PC,982
G6PC2,982
G6PC3,982
PCK1,982
PCK2,982
SIK1,982
SIK1B,982
CYP11B2,982
STAR,982
VEGFB,982
VEGFC,982
VEGFD,982
CYP11B1,982
CYP17A1,982
NCEH1,982
FOS,982
TNFSF11,982
POMC,982
BDNF,982
PDYN,982
ARC,982
FOSB,982
CRH,982
NPY,982
CXCL8,982
PCNA,982
CCL2,982
CCL5,982
CXCL10,982
ICAM1,982
IL12A,982
IL12B,982
IL1A,982
IL1B,982
IL6,982
TNF,982
CCND1,982
ATF4,982
PRKN,982
DDIT3,982
ATF6B,982
BBC3,982
TP53,982
TP53AIP1,982
BCL3,982
CCL17,982
CCL22,982
IL10,982
IL23A,982
BORCS8-MEF2B,982
KLF2,982
CAMK4,982
CBL,982
THBS1,982
TIMP3,982
CD40,982
CDX2,982
ABCB1,982
CDH17,982
MUC2,982
REG4,982
SHH,982
CEBPA,982
CSF3R,982
E2F1,982
E2F2,982
E2F3,982
MYC,982
CIITA,982
HLA-DMA,982
HLA-DMB,982
HLA-DOA,982
HLA-DOB,982
HLA-DPA1,982
HLA-DPB1,982
HLA-DQA1,982
HLA-DQA2,982
HLA-DQB1,982
HLA-DRA,982
HLA-DRB1,982
HLA-DRB3,982
HLA-DRB4,982
HLA-DRB5,982
CITED2,982
BNIP3L,982
CLOCK,982
CREB1,982
AQP2,982
MITF,982
JUN,982
ACP5,982
CALCR,982
CTSK,982
ITGB3,982
REN,982
CD74,982
PTGER4,982
CREB3,982
CREB3L1,982
CREB3L2,982
CREB3L3,982
CREB3L4,982
CREB5,982
CREBBP,982
IFNB1,982
CRTC2,982
CTNNB1,982
CCND2,982
CCND3,982
CCNE1,982
CCNE2,982
BNIP3,982
FOXM1,982
MYBL2,982
CCNA1,982
CCNA2,982
E2F4,982
E2F5,982
EGFR,982
PTGS2,982
EGR1,982
SPP1,982
PTH,982
EGR2,982
FASLG,982
EGR3,982
EIF4EBP2,982
CRYAB,982
HSPA1A,982
HSPA1B,982
HSPA1L,982
HSPA2,982
HSPA6,982
HSPA8,982
SOD1,982
SOD2,982
ELK1,982
BIRC2,982
BIRC3,982
XIAP,982
FOSL1,982
ELK4,982
EP300,982
EPAS1,982
FIGF,982
PDGFB,982
PGF,982
TGFA,982
TGFB1,982
TGFB2,982
TGFB3,982
ESR1,982
CTSD,982
EBAG9,982
KRT10,982
KRT12,982
KRT13,982
KRT14,982
KRT15,982
KRT16,982
KRT17,982
KRT18,982
KRT19,982
KRT20,982
KRT23,982
KRT24,982
KRT25,982
KRT26,982
KRT27,982
KRT28,982
KRT31,982
KRT32,982
KRT33A,982
KRT33B,982
KRT34,982
KRT35,982
KRT36,982
KRT37,982
KRT38,982
KRT39,982
KRT40,982
KRT9,982
LOC100653049,982
PGR,982
RARA,982
TFF1,982
ATP2B1,982
CALB1,982
SLC8A1,982
TRPV5,982
PPARD,982
ESR2,982
ETS1,982
CDK4,982
IL8,982
MMP1,982
MMP2,982
MMP9,982
ETS2,982
BCL2L11,982
FAS,982
HRK,982
NFATC1,982
CCL3,982
CCL3L1,982
CCL3L3,982
CCL4,982
CCL4L1,982
CCL4L2,982
GATA3,982
IFNG,982
IL12RB1,982
IL12RB2,982
IL13,982
IL2,982
IL2RA,982
IL4,982
IL4R,982
IL5,982
TBX21,982
CSF2,982
CXCL1,982
CXCL2,982
CXCL3,982
FGF2,982
CTSL,982
PDGFA,982
SELE,982
VCAM1,982
CDK5,982
GRIA2,982
NFKB1,982
RELA,982
FOSL2,982
FOXA2,982
PDX1,982
CAT,982
FOXO1,982
FBP1,982
FBP2,982
ATG12,982
ATM,982
BCL6,982
CCNB1,982
CCNB2,982
CCNB3,982
CCNG2,982
CDKN2D,982
FBXO25,982
FBXO32,982
GABARAP,982
GABARAPL1,982
GABARAPL2,982
GADD45A,982
GADD45B,982
GADD45G,982
IL7R,982
PLK1,982
PLK2,982
PLK3,982
PLK4,982
RAG1,982
RAG2,982
RBL2,982
S1PR1,982
S1PR4,982
TNFSF10,982
ATG5,982
FOXO3,982
GALT,982
FOXO4,982
FOXO6,982
MAF,982
GATA4,982
TRAF3IP2,982
GCM1,982
GCM2,982
GLI1,982
BMP2,982
BMP4,982
BMP5,982
BMP6,982
BMP7,982
BMP8A,982
BMP8B,982
GLI2,982
GLI3,982
HHIP,982
PTCH1,982
PTCH2,982
WNT1,982
WNT10A,982
WNT10B,982
WNT11,982
WNT16,982
WNT2,982
WNT2B,982
WNT3,982
WNT3A,982
WNT4,982
WNT5A,982
WNT5B,982
WNT6,982
WNT7A,982
WNT7B,982
WNT8A,982
WNT8B,982
WNT9A,982
WNT9B,982
GNAI1,982
GNAI2,982
GNAI3,982
GNAO1,982
HDAC1,982
HDAC4,982
MEF2A,982
MEF2B,982
MEF2C,982
MEF2D,982
HDAC5,982
HES1,982
ERBB2,982
NFKB2,982
HES5,982
HEY1,982
HEY2,982
HEYL,982
HIF1A,982
PFKP,982
PFKM,982
PGAM1,982
PGAM2,982
PGAM4,982
PKM,982
HLA-A,982
HLA-B,982
HLA-C,982
HLA-E,982
HLA-F,982
HLA-G,982
HNF1A,982
FOXA3,982
HNF4A,982
HNF4G,982
PKLR,982
SLC2A2,982
HSF1,982
IDO1,982
IDO2,982
IFNGR1,982
MARCKSL1,982
IFNGR2,982
IL18R1,982
IL18RAP,982
IL6R,982
SOCS3,982
INSR,982
PNPLA2,982
IRF1,982
IRF3,982
CD80,982
CD86,982
CXCL11,982
CXCL9,982
IFNA1,982
IFNA10,982
IFNA13,982
IFNA14,982
IFNA16,982
IFNA17,982
IFNA2,982
IFNA21,982
IFNA4,982
IFNA5,982
IFNA6,982
IFNA7,982
IFNA8,982
IFNE,982
IFNK,982
IFNW1,982
IFIT1,982
IFIT1B,982
IL15,982
APOBEC3A,982
APOBEC3A_B,982
APOBEC3B,982
APOBEC3C,982
APOBEC3D,982
APOBEC3F,982
APOBEC3G,982
APOBEC3H,982
BST2,982
SAMHD1,982
TRIM5,982
IRF5,982
IRF7,982
IRF8,982
IRF9,982
IL17D,982
EIF2AK1,982
EIF2AK2,982
EIF2AK3,982
EIF2AK4,982
MX1,982
OAS1,982
OAS2,982
OAS3,982
RSAD2,982
ADAR,982
PML,982
ISG15,982
JAG1,982
AGER,982
F3,982
THBD,982
MMP7,982
CD44,982
CD58,982
ENTPD1,982
ENTPD3,982
ENTPD8,982
FCER2,982
ITGAL,982
TNFAIP3,982
VIM,982
JUNB,982
JUND,982
BGLAP,982
LRP5,982
LRP6,982
JUP,982
KDM3A,982
KDM3B,982
KIR2DL1,982
KIR2DL2,982
KIR2DL3,982
KIR2DL4,982
KIR2DL5A,982
NOS1,982
ASS1,982
GSTA1,982
GSTA2,982
GSTA3,982
GSTA4,982
GSTA5,982
GSTM1,982
GSTM2,982
GSTM3,982
GSTM4,982
GSTM5,982
GSTO1,982
GSTO2,982
GSTP1,982
GSTT1,982
GSTT2,982
GSTT2B,982
MGST1,982
MGST2,982
MGST3,982
NPPC,982
NQO1,982
PLAT,982
SQSTM1,982
TXN,982
TXN2,982
KLF4,982
SOX2,982
KMT2A,982
KMT2D,982
LEF1,982
BIRC5,982
AXIN1,982
AXIN2,982
NKD1,982
SNAI2,982
MAFA,982
MAFB,982
MAML1,982
HES2,982
HES3,982
HES4,982
HES6,982
HES7,982
MAML2,982
MAML3,982
MAPK1,982
IL18,982
PLAU,982
PLAUR,982
JMJD7-PLA2G4B,982
PLA2G4A,982
PLA2G4B,982
PLA2G4C,982
PLA2G4D,982
PLA2G4E,982
PLA2G4F,982
MAPK10,982
MAPK11,982
IRF4,982
MAPK12,982
MAPK13,982
MAPK14,982
MAPK3,982
MAPK7,982
MAPK8,982
MAPK9,982
MAX,982
CDK6,982
CKS1B,982
CKS2,982
MDM2,982
SOST,982
MEN1,982
DCT,982
TYR,982
TYRP1,982
MLX,982
ACACB,982
MLXIP,982
MLXIPL,982
MTOR,982
TERT,982
TFAP4,982
GLS,982
GLS2,982
SLC1A5,982
MYD88,982
NACA,982
NANOG,982
POU5F1,982
POU5F1B,982
NCOA1,982
NCOA2,982
NCOA3,982
NEUROD1,982
GCK,982
IAPP,982
NEUROG3,982
NKX2-2,982
PAX4,982
PAX6,982
MYH7,982
NPPB,982
TRPC6,982
F2R,982
IL17A,982
IL17F,982
IL21,982
IL22,982
RCAN1,982
RGS2,982
NFATC2,982
NFATC3,982
NFATC4,982
NFE2L2,982
TXNRD1,982
TXNRD2,982
TXNRD3,982
BCL2L1,982
TRAF1,982
TRAF2,982
TRAF3,982
TRAF4,982
TRAF5,982
TRAF6,982
AMH,982
BCL2A1,982
CFLAR,982
NFKBIA,982
MYB,982
PTPN13,982
BIRC7,982
BIRC8,982
CEBPB,982
CEBPG,982
IL15RA,982
LTA,982
CCL13,982
CCL19,982
CCL21,982
CXCL12,982
TNFSF13B,982
NFX1,982
NOTCH1,982
NOTCH2,982
NOTCH3,982
NOTCH4,982
NFYA,982
NFYB,982
NFYC,982
FLT4,982
NPAS2,982
NR0B2,982
CYP7A1,982
SLC10A1,982
SLCO1A2,982
SLCO1B1,982
SLCO1B3,982
SLCO1B7,982
NR1H3,982
SREBF1,982
NR1H4,982
ABCB11,982
ABCB4,982
ABCC2,982
SLC51A,982
SLC51B,982
NR3C2,982
ATP1A1,982
ATP1A2,982
ATP1A3,982
ATP1A4,982
ATP1B1,982
ATP1B2,982
ATP1B3,982
ATP1B4,982
FXYD2,982
FXYD4,982
KRAS,982
SCNN1A,982
SCNN1B,982
SCNN1G,982
SGK1,982
NR4A1,982
NR4A2,982
FGF23,982
NR5A1,982
ONECUT1,982
HNF1B,982
PAX8,982
PBX1,982
NKX6-1,982
NR5A2,982
PGAM5,982
DNM1L,982
PIAS1,982
PIAS2,982
PIAS3,982
PIAS4,982
PIK3CA,982
RCAN2,982
PIK3CB,982
PIK3CD,982
PIK3R1,982
PIK3R2,982
PIK3R3,982
CEBPE,982
ZBTB16,982
PPARA,982
ACAA1,982
ACADM,982
ACOX1,982
ACOX2,982
ACOX3,982
ACSL1,982
ACSL3,982
ACSL4,982
ACSL5,982
ACSL6,982
ANGPTL4,982
APOA1,982
APOA2,982
APOA5,982
APOC3,982
CPT2,982
CYP4A11,982
CYP4A22,982
CYP8B1,982
DBI,982
EHHADH,982
FABP1,982
FADS2,982
HMGCS2,982
LPL,982
ME1,982
PLTP,982
SCD,982
SCD5,982
SCP2,982
SLC27A1,982
SLC27A4,982
ACSBG1,982
ACSBG2,982
ACADL,982
FABP3,982
ILK,982
PDPK1,982
UBC,982
PPARG,982
ADIPOQ,982
AQP7,982
CD36,982
CYP27A1,982
FABP4,982
GK,982
GK2,982
OLR1,982
PLIN1,982
SORBS1,982
PLIN2,982
PLIN4,982
PLIN5,982
SLC2A4,982
NRF1,982
TFAM,982
PRKAA1,982
SPHK1,982
SPHK2,982
PRKAA2,982
PRKAB1,982
PRKAB2,982
PRKACA,982
EHMT1,982
EHMT2,982
AKR1C3,982
CYP19A1,982
HSD17B1,982
HSD17B2,982
HSD17B7,982
HSD3B1,982
HSD3B2,982
PRKACB,982
PRKACG,982
PRKAG1,982
