Alpha_Node,Total_Support
AHR,-744
CDKN1B,-746
APLNR,-742
PIK3C3,-746
PIK3R4,-746
AR,-744
KLK3,-746
ARNT,-746
ALDOA,-746
ANGPT1,-746
ANGPT2,-748
ANGPT4,-746
BCL2,-746
CDKN1A,-746
EDN1,-748
EGF,-746
ENO1,-746
ENO2,-746
ENO3,-746
ENO4,-746
EPO,-746
FLT1,-746
GAPDH,-746
HK1,-746
HK2,-746
HK3,-746
HKDC1,-746
HMOX1,-748
LDHA,-746
LTBR,-746
NOS2,-746
NOS3,-748
NPPA,-746
PDK1,-746
PFKFB3,-746
PFKL,-746
PGK1,-746
SERPINE1,-746
SLC2A1,-746
TEK,-746
TF,-746
TFRC,-746
TIMP1,-746
VEGFA,-746
ARNTL,-748
BHLHE40,-746
BHLHE41,-746
CRY1,-746
CRY2,-746
NR1D1,-736
PER1,-746
PER2,-746
PER3,-746
RORA,-736
RORB,-736
RORC,-736
ASH2L,-746
CDKN2A,-746
CDKN2B,-746
CDKN2C,-746
ATF2,-742
MCL1,-746
FGF21,-746
PPARGC1A,-760
UCP1,-748
ZNF516,-746
INS,-746
TG,-746
CPT1A,-746
CPT1B,-746
CPT1C,-746
G6PC,-748
G6PC2,-748
G6PC3,-748
PCK1,-746
PCK2,-746
SIK1,-746
SIK1B,-746
CYP11B2,-746
STAR,-746
VEGFB,-746
VEGFC,-746
VEGFD,-746
CYP11B1,-746
CYP17A1,-746
NCEH1,-746
FOS,-686
TNFSF11,-746
POMC,-746
BDNF,-748
PDYN,-746
ARC,-748
FOSB,-646
CRH,-748
NPY,-748
CXCL8,-746
PCNA,-748
CCL2,-748
CCL5,-748
CXCL10,-748
ICAM1,-748
IL12A,-746
IL12B,-746
IL1A,-748
IL1B,-748
IL6,-746
TNF,-748
CCND1,-746
ATF4,-734
PRKN,-748
DDIT3,-746
ATF6B,-738
BBC3,-742
TP53,-748
TP53AIP1,-746
BCL3,-742
CCL17,-746
CCL22,-746
IL10,-748
IL23A,-746
BORCS8-MEF2B,-744
KLF2,-806
CAMK4,-736
CBL,-744
THBS1,-746
TIMP3,-746
CD40,-748
CDX2,-736
ABCB1,-746
CDH17,-746
MUC2,-746
REG4,-746
SHH,-746
CEBPA,-692
CSF3R,-746
E2F1,-746
E2F2,-746
E2F3,-746
MYC,-748
CIITA,-746
HLA-DMA,-746
HLA-DMB,-746
HLA-DOA,-746
HLA-DOB,-746
HLA-DPA1,-746
HLA-DPB1,-746
HLA-DQA1,-746
HLA-DQA2,-746
HLA-DQB1,-746
HLA-DRA,-746
HLA-DRB1,-746
HLA-DRB3,-746
HLA-DRB4,-746
HLA-DRB5,-746
CITED2,-746
BNIP3L,-746
CLOCK,-746
CREB1,-688
AQP2,-746
MITF,-752
JUN,-616
ACP5,-746
CALCR,-746
CTSK,-746
ITGB3,-746
REN,-746
CD74,-746
PTGER4,-746
CREB3,-688
CREB3L1,-688
CREB3L2,-688
CREB3L3,-688
CREB3L4,-688
CREB5,-688
CREBBP,-748
IFNB1,-748
CRTC2,-746
CTNNB1,-612
CCND2,-746
CCND3,-748
CCNE1,-746
CCNE2,-746
BNIP3,-746
FOXM1,-746
MYBL2,-746
CCNA1,-746
CCNA2,-746
E2F4,-692
E2F5,-692
EGFR,-746
PTGS2,-746
EGR1,-746
SPP1,-746
PTH,-746
EGR2,-746
FASLG,-748
EGR3,-746
EIF4EBP2,-742
CRYAB,-746
HSPA1A,-746
HSPA1B,-746
HSPA1L,-746
HSPA2,-746
HSPA6,-746
HSPA8,-746
SOD1,-746
SOD2,-746
ELK1,-738
BIRC2,-746
BIRC3,-746
XIAP,-746
FOSL1,-720
ELK4,-734
EP300,-748
EPAS1,-746
FIGF,-748
PDGFB,-748
PGF,-748
TGFA,-746
TGFB1,-748
TGFB2,-746
TGFB3,-746
ESR1,-686
CTSD,-746
EBAG9,-746
KRT10,-746
KRT12,-746
KRT13,-746
KRT14,-746
KRT15,-746
KRT16,-746
KRT17,-746
KRT18,-746
KRT19,-746
KRT20,-746
KRT23,-746
KRT24,-746
KRT25,-746
KRT26,-746
KRT27,-746
KRT28,-746
KRT31,-746
KRT32,-746
KRT33A,-746
KRT33B,-746
KRT34,-746
KRT35,-746
KRT36,-746
KRT37,-746
KRT38,-746
KRT39,-746
KRT40,-746
KRT9,-746
LOC100653049,-746
PGR,-746
RARA,-694
TFF1,-746
ATP2B1,-746
CALB1,-746
SLC8A1,-746
TRPV5,-746
PPARD,-750
ESR2,-686
ETS1,-738
CDK4,-746
IL8,-746
MMP1,-748
MMP2,-748
MMP9,-748
ETS2,-734
BCL2L11,-748
FAS,-748
HRK,-748
NFATC1,-734
CCL3,-748
CCL3L1,-748
CCL3L3,-748
CCL4,-748
CCL4L1,-748
CCL4L2,-748
GATA3,-754
IFNG,-748
IL12RB1,-748
IL12RB2,-746
IL13,-746
IL2,-748
IL2RA,-748
IL4,-748
IL4R,-748
IL5,-746
TBX21,-728
CSF2,-748
CXCL1,-748
CXCL2,-748
CXCL3,-748
FGF2,-748
CTSL,-748
PDGFA,-748
SELE,-748
VCAM1,-748
CDK5,-746
GRIA2,-746
NFKB1,-710
RELA,-710
FOSL2,-718
