Alpha_Node,Total_Support
AHR,-736
CDKN1B,-738
APLNR,-734
PIK3C3,-738
PIK3R4,-738
AR,-736
KLK3,-738
ARNT,-738
ALDOA,-738
ANGPT1,-738
ANGPT2,-740
ANGPT4,-738
BCL2,-738
CDKN1A,-738
EDN1,-740
EGF,-738
ENO1,-738
ENO2,-738
ENO3,-738
ENO4,-738
EPO,-738
FLT1,-738
GAPDH,-738
HK1,-738
HK2,-738
HK3,-738
HKDC1,-738
HMOX1,-740
LDHA,-738
LTBR,-738
NOS2,-738
NOS3,-740
NPPA,-738
PDK1,-738
PFKFB3,-738
PFKL,-738
PGK1,-738
SERPINE1,-738
SLC2A1,-738
TEK,-738
TF,-738
TFRC,-738
TIMP1,-738
VEGFA,-738
ARNTL,-740
BHLHE40,-738
BHLHE41,-738
CRY1,-738
CRY2,-738
NR1D1,-728
PER1,-738
PER2,-738
PER3,-738
RORA,-728
RORB,-728
RORC,-728
ASH2L,-738
CDKN2A,-738
CDKN2B,-738
CDKN2C,-738
ATF2,-736
MCL1,-738
FGF21,-738
PPARGC1A,-752
UCP1,-740
ZNF516,-738
INS,-738
TG,-738
CPT1A,-738
CPT1B,-738
CPT1C,-738
G6PC,-740
G6PC2,-740
G6PC3,-740
PCK1,-738
PCK2,-738
SIK1,-738
SIK1B,-738
CYP11B2,-738
STAR,-738
VEGFB,-738
VEGFC,-738
VEGFD,-738
CYP11B1,-738
CYP17A1,-738
NCEH1,-738
FOS,-680
TNFSF11,-738
POMC,-738
BDNF,-740
PDYN,-738
ARC,-740
FOSB,-648
CRH,-740
NPY,-740
CXCL8,-738
PCNA,-740
CCL2,-740
CCL5,-740
CXCL10,-740
ICAM1,-740
IL12A,-738
IL12B,-738
IL1A,-740
IL1B,-740
IL6,-738
TNF,-738
CCND1,-738
ATF4,-728
PRKN,-740
DDIT3,-738
ATF6B,-732
BBC3,-734
TP53,-740
TP53AIP1,-738
BCL3,-734
CCL17,-738
CCL22,-738
IL10,-740
IL23A,-738
BORCS8-MEF2B,-736
KLF2,-798
CAMK4,-728
CBL,-736
THBS1,-738
TIMP3,-738
CD40,-740
CDX2,-728
ABCB1,-738
CDH17,-738
MUC2,-738
REG4,-738
SHH,-738
CEBPA,-684
CSF3R,-738
E2F1,-738
E2F2,-738
E2F3,-738
MYC,-740
CIITA,-738
HLA-DMA,-738
HLA-DMB,-738
HLA-DOA,-738
HLA-DOB,-738
HLA-DPA1,-738
HLA-DPB1,-738
HLA-DQA1,-738
HLA-DQA2,-738
HLA-DQB1,-738
HLA-DRA,-738
HLA-DRB1,-738
HLA-DRB3,-738
HLA-DRB4,-738
HLA-DRB5,-738
CITED2,-738
BNIP3L,-738
CLOCK,-738
CREB1,-682
AQP2,-738
MITF,-744
JUN,-612
ACP5,-740
CALCR,-740
CTSK,-740
ITGB3,-740
REN,-738
CD74,-738
PTGER4,-738
CREB3,-682
CREB3L1,-682
CREB3L2,-682
CREB3L3,-682
CREB3L4,-682
CREB5,-682
CREBBP,-740
IFNB1,-740
CRTC2,-738
CTNNB1,-606
CCND2,-738
CCND3,-740
CCNE1,-738
CCNE2,-738
BNIP3,-738
FOXM1,-738
MYBL2,-738
CCNA1,-738
CCNA2,-738
E2F4,-684
E2F5,-684
EGFR,-738
PTGS2,-738
EGR1,-738
SPP1,-738
PTH,-738
EGR2,-738
FASLG,-740
EGR3,-738
EIF4EBP2,-734
CRYAB,-738
HSPA1A,-738
HSPA1B,-738
HSPA1L,-738
HSPA2,-738
HSPA6,-738
HSPA8,-738
SOD1,-738
SOD2,-738
ELK1,-738
BIRC2,-738
BIRC3,-738
XIAP,-738
FOSL1,-720
ELK4,-728
EP300,-740
EPAS1,-738
FIGF,-740
PDGFB,-740
PGF,-740
TGFA,-738
TGFB1,-740
TGFB2,-738
TGFB3,-738
ESR1,-678
CTSD,-738
EBAG9,-738
KRT10,-738
KRT12,-738
KRT13,-738
KRT14,-738
KRT15,-738
KRT16,-738
KRT17,-738
KRT18,-738
KRT19,-738
KRT20,-738
KRT23,-738
KRT24,-738
KRT25,-738
KRT26,-738
KRT27,-738
KRT28,-738
KRT31,-738
KRT32,-738
KRT33A,-738
KRT33B,-738
KRT34,-738
KRT35,-738
KRT36,-738
KRT37,-738
KRT38,-738
KRT39,-738
KRT40,-738
KRT9,-738
LOC100653049,-738
PGR,-738
RARA,-686
TFF1,-738
ATP2B1,-738
CALB1,-738
