Alpha_Node,Total_Support
WNT6,-670
WNT7A,-670
WNT7B,-670
WNT8A,-670
WNT8B,-670
WNT9A,-670
WNT9B,-670
GNAI1,-670
GNAI2,-670
GNAI3,-670
GNAO1,-670
HDAC1,-658
HDAC4,-720
MEF2A,-668
MEF2B,-668
MEF2C,-668
MEF2D,-668
HDAC5,-720
HES1,-606
ERBB2,-670
NFKB2,-668
HES5,-606
HEY1,-606
HEY2,-606
HEYL,-606
HIF1A,-672
PFKP,-672
PFKM,-672
PGAM1,-672
PGAM2,-672
PGAM4,-672
PKM,-672
HLA-A,-670
HLA-B,-670
HLA-C,-670
HLA-E,-670
HLA-F,-670
HLA-G,-670
HNF1A,-660
FOXA3,-670
HNF4A,-676
HNF4G,-670
PKLR,-670
SLC2A2,-670
HSF1,-670
IDO1,-670
IDO2,-670
IFNGR1,-668
MARCKSL1,-670
IFNGR2,-668
IL18R1,-672
IL18RAP,-672
IL6R,-670
SOCS3,-670
INSR,-668
PNPLA2,-670
IRF1,-672
IRF3,-636
CD80,-670
CD86,-670
CXCL11,-670
CXCL9,-670
IFNA1,-670
IFNA10,-670
IFNA13,-670
IFNA14,-670
IFNA16,-670
IFNA17,-670
IFNA2,-670
IFNA21,-670
IFNA4,-670
IFNA5,-670
IFNA6,-670
IFNA7,-670
IFNA8,-670
IFNE,-670
IFNK,-670
IFNW1,-670
IFIT1,-670
IFIT1B,-670
IL15,-670
APOBEC3A,-670
APOBEC3A_B,-670
APOBEC3B,-670
APOBEC3C,-670
APOBEC3D,-670
APOBEC3F,-670
APOBEC3G,-670
APOBEC3H,-670
BST2,-670
SAMHD1,-670
TRIM5,-670
IRF5,-672
IRF7,-670
IRF8,-670
IRF9,-648
IL17D,-670
EIF2AK1,-670
EIF2AK2,-670
EIF2AK3,-670
EIF2AK4,-670
MX1,-670
OAS1,-670
OAS2,-670
OAS3,-670
RSAD2,-670
ADAR,-670
PML,-626
ISG15,-670
JAG1,-670
AGER,-672
F3,-672
THBD,-672
MMP7,-672
CD44,-672
CD58,-672
ENTPD1,-672
ENTPD3,-672
ENTPD8,-672
FCER2,-672
ITGAL,-672
TNFAIP3,-672
VIM,-672
JUNB,-672
JUND,-666
BGLAP,-670
LRP5,-670
LRP6,-670
JUP,-620
KDM3A,-672
KDM3B,-672
KIR2DL1,-670
KIR2DL2,-670
KIR2DL3,-670
KIR2DL4,-670
KIR2DL5A,-670
NOS1,-672
ASS1,-672
