Alpha_Node,Total_Support
AHR,-742
CDKN1B,-744
APLNR,-740
PIK3C3,-744
PIK3R4,-744
AR,-742
KLK3,-744
ARNT,-744
ALDOA,-744
ANGPT1,-744
ANGPT2,-746
ANGPT4,-744
BCL2,-744
CDKN1A,-744
EDN1,-746
EGF,-744
ENO1,-744
ENO2,-744
ENO3,-744
ENO4,-744
EPO,-744
FLT1,-744
GAPDH,-744
HK1,-744
HK2,-744
HK3,-744
HKDC1,-744
HMOX1,-746
LDHA,-744
LTBR,-744
NOS2,-744
NOS3,-746
NPPA,-744
PDK1,-744
PFKFB3,-744
PFKL,-744
PGK1,-744
SERPINE1,-744
SLC2A1,-744
TEK,-744
TF,-744
TFRC,-744
TIMP1,-744
VEGFA,-744
ARNTL,-746
BHLHE40,-744
BHLHE41,-744
CRY1,-744
CRY2,-744
NR1D1,-734
PER1,-744
PER2,-744
PER3,-744
RORA,-734
RORB,-734
RORC,-734
ASH2L,-744
CDKN2A,-744
CDKN2B,-744
CDKN2C,-744
ATF2,-742
MCL1,-744
FGF21,-744
PPARGC1A,-758
UCP1,-746
ZNF516,-744
INS,-744
TG,-744
CPT1A,-744
CPT1B,-744
CPT1C,-744
G6PC,-746
G6PC2,-746
G6PC3,-746
PCK1,-744
PCK2,-744
SIK1,-744
SIK1B,-744
CYP11B2,-744
STAR,-744
VEGFB,-744
VEGFC,-744
VEGFD,-744
CYP11B1,-744
CYP17A1,-744
NCEH1,-744
FOS,-686
TNFSF11,-744
POMC,-744
BDNF,-746
PDYN,-744
ARC,-746
FOSB,-654
CRH,-746
NPY,-746
CXCL8,-744
PCNA,-746
CCL2,-746
CCL5,-746
CXCL10,-746
ICAM1,-746
IL12A,-744
IL12B,-744
IL1A,-746
IL1B,-746
IL6,-744
TNF,-744
CCND1,-744
ATF4,-734
PRKN,-746
DDIT3,-744
ATF6B,-738
BBC3,-740
TP53,-746
TP53AIP1,-744
BCL3,-740
CCL17,-744
CCL22,-744
IL10,-746
IL23A,-744
BORCS8-MEF2B,-742
KLF2,-804
CAMK4,-734
CBL,-742
THBS1,-744
TIMP3,-744
CD40,-746
CDX2,-734
ABCB1,-744
CDH17,-744
MUC2,-744
REG4,-744
SHH,-744
CEBPA,-690
CSF3R,-744
E2F1,-744
E2F2,-744
E2F3,-744
MYC,-746
CIITA,-744
HLA-DMA,-744
HLA-DMB,-744
HLA-DOA,-744
HLA-DOB,-744
HLA-DPA1,-744
HLA-DPB1,-744
HLA-DQA1,-744
HLA-DQA2,-744
HLA-DQB1,-744
HLA-DRA,-744
HLA-DRB1,-744
HLA-DRB3,-744
HLA-DRB4,-744
HLA-DRB5,-744
CITED2,-744
BNIP3L,-744
CLOCK,-744
CREB1,-688
AQP2,-744
MITF,-750
JUN,-616
ACP5,-744
CALCR,-744
CTSK,-744
ITGB3,-744
REN,-744
CD74,-744
PTGER4,-744
CREB3,-688
CREB3L1,-688
CREB3L2,-688
CREB3L3,-688
CREB3L4,-688
CREB5,-688
CREBBP,-746
IFNB1,-746
CRTC2,-744
CTNNB1,-612
CCND2,-744
CCND3,-746
CCNE1,-744
CCNE2,-744
BNIP3,-744
FOXM1,-744
MYBL2,-744
CCNA1,-744
CCNA2,-744
E2F4,-690
E2F5,-690
EGFR,-744
